ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
955	"FBgn0030052"	"CG12065"	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	955	499,469,416	582,547,513	297,159,171	819,464,417	131	74	4.4408920985e-16	2.34438731054e-13	0.326,0.326,0.314	0.17,0.162,0.188	0.149
4486	"FBgn0039465"	"Tsp97E"	chr3R	-	26962539	26963080	26961063	26962451	26963157	26963520	4486	90,90,98	91,82,95	24,23,21	157,60,54	615	74	5.55111512313e-16	2.68627712667e-13	0.106,0.117,0.11	0.018,0.044,0.045	0.075
502	"FBgn0035871"	"BI-1"	chr3L	-	8307592	8307732	8307144	8307380	8307793	8307964	502	184,158,176	722,642,799	61,34,22	651,413,321	214	74	6.66133814775e-16	2.97556850954e-13	0.081,0.078,0.071	0.031,0.028,0.023	0.049
6395	"FBgn0030752"	"CG9947"	chrX	-	16439423	16439514	16437420	16439286	16439596	16439762	6395	55,39,55	455,395,498	9,3,2	426,200,148	165	74	3.90798504668e-14	1.62097636901e-11	0.051,0.042,0.047	0.009,0.007,0.006	0.039
5960	"FBgn0266410"	"CG45050"	chr3R	+	9342575	9342894	9341866	9342491	9354421	9354854	5960	496,332,510	323,243,209	374,245,206	449,492,263	393	74	7.87148124459e-14	3.04731277249e-11	0.224,0.205,0.315	0.136,0.086,0.129	0.131
2614	"FBgn0032938"	"CG8671"	chr2L	+	21279883	21280447	21275723	21275806	21281131	21281337	2614	138,134,128	81,62,51	182,62,50	154,119,108	638	74	2.51687559683e-13	9.13468536924e-11	0.165,0.2,0.225	0.121,0.057,0.051	0.12
5801	"FBgn0042174"	"CR18854"	chr2L	-	9789674	9789732	9789366	9789615	9789790	9790309	5801	732,635,714	53,56,70	1113,871,1065	179,203,239	132	74	2.72226685638e-13	9.29894331471e-11	0.886,0.864,0.851	0.777,0.706,0.714	0.135
775	"FBgn0051145"	"CG31145"	chr3R	-	23631485	23632186	23626596	23627460	23635277	23635321	775	287,270,201	101,82,68	267,148,188	202,163,123	775	74	6.2938543266e-13	2.03046733748e-10	0.213,0.239,0.22	0.112,0.08,0.127	0.118
5485	"FBgn0082582"	"tmod"	chr3R	+	30576597	30576818	30572924	30573072	30577178	30577558	5485	124,87,89	840,737,695	208,170,196	931,516,588	295	74	2.58360000061e-12	7.89629747555e-10	0.036,0.029,0.031	0.053,0.076,0.077	-0.037
3062	"FBgn0261553"	"CG42671"	chr3L	+	11227672	11228088	11226635	11226801	11229112	11229635	3062	527,546,484	3,9,4	538,369,391	29,19,25	490	74	7.50499662416e-12	2.17907576982e-09	0.964,0.902,0.948	0.737,0.746,0.703	0.209
6371	"FBgn0011361"	"mtacp1"	chr3L	+	1330862	1330949	1330130	1330290	1331041	1331170	6371	890,786,1042	524,487,624	1381,629,581	462,211,152	161	74	1.29903865442e-11	3.59215117439e-09	0.438,0.426,0.434	0.579,0.578,0.637	-0.165
2492	"FBgn0020496"	"CtBP"	chr3R	+	13024799	13025044	13021419	13021642	13025388	13026275	2492	343,272,325	122,107,91	296,126,126	236,102,98	319	74	1.37023725699e-11	3.61680352334e-09	0.395,0.371,0.453	0.225,0.223,0.23	0.18
2497	"FBgn0020496"	"CtBP"	chr3R	+	13024823	13025044	13021419	13021642	13025388	13026275	2497	358,281,333	122,107,91	309,135,128	236,102,98	295	74	1.587174836e-11	4.00727142289e-09	0.424,0.397,0.479	0.247,0.249,0.247	0.186
6380	"FBgn0002921"	"Atpalpha"	chr3R	+	20959236	20959380	20957733	20958167	20963724	20963856	6380	369,328,250	266,229,170	404,272,282	548,386,419	218	74	2.13350448419e-11	5.16219189154e-09	0.32,0.327,0.333	0.2,0.193,0.186	0.134
5102	"FBgn0022764"	"Sin3A"	chr2R	-	12577453	12578285	12576567	12576993	12579128	12579356	5102	523,404,415	129,119,106	496,429,402	256,216,264	906	74	2.38585817769e-11	5.54187137514e-09	0.249,0.217,0.242	0.137,0.14,0.111	0.107
4552	"FBgn0053196"	"dp"	chr2L	-	4548004	4548802	4532242	4532386	4552242	4552335	4552	5,6,6	0,0,0	31,20,14	7,4,2	872	74	3.34485772413e-11	7.47061107847e-09	1.0,1.0,1.0	0.273,0.298,0.373	0.685
2401	"FBgn0264693"	"ens"	chr3L	-	4133548	4133656	4131955	4132212	4133768	4133822	2401	40,39,25	93,103,82	32,8,17	234,136,165	182	74	7.10786984826e-11	1.52871852625e-08	0.149,0.133,0.11	0.053,0.023,0.04	0.092
2919	"FBgn0264953"	"Piezo"	chr2L	+	8185125	8185278	8184814	8184850	8186116	8186255	2919	48,52,44	112,105,80	38,28,15	172,177,160	227	74	1.02709174499e-10	2.13011491541e-08	0.123,0.139,0.152	0.067,0.049,0.03	0.089
2496	"FBgn0020496"	"CtBP"	chr3R	+	13024799	13025029	13021419	13021642	13025388	13026275	2496	218,161,216	122,107,91	183,78,73	236,102,98	304	74	1.26976984482e-10	2.54260465133e-08	0.303,0.268,0.366	0.159,0.157,0.153	0.156
981	"FBgn0261041"	"stj"	chr2R	+	13816035	13816083	13815554	13815648	13816202	13816313	981	14,27,18	151,145,123	6,3,0	245,98,85	122	74	1.57501234277e-10	3.04869889149e-08	0.053,0.101,0.082	0.015,0.018,0.0	0.068
2310	"FBgn0003475"	"spir"	chr2L	+	20344654	20345458	20343742	20343947	20345524	20345670	2310	1188,1059,1122	31,16,37	710,539,517	110,40,41	878	74	2.10134354361e-10	3.93629095411e-08	0.764,0.848,0.719	0.352,0.532,0.515	0.311
6551	"FBgn0003261"	"Rm62"	chr3R	-	6005205	6005297	6004016	6005126	6008036	6008573	6551	90,67,84	314,304,307	120,76,128	1086,631,1044	166	74	2.90979684792e-10	5.28037196746e-08	0.113,0.089,0.109	0.047,0.051,0.052	0.054
5998	"FBgn0027932"	"Akap200"	chr2L	+	8428319	8429462	8427614	8428067	8430280	8430977	5998	9348,8164,8732	1310,1301,1519	8598,6033,6642	2456,1442,1865	1217	74	3.32521454816e-10	5.85136996399e-08	0.303,0.276,0.259	0.176,0.203,0.178	0.094
1415	"FBgn0051352"	"Unc-115a"	chr3R	-	9696421	9696507	9695586	9695653	9696599	9696739	1415	3,5,5	0,2,1	0,0,0	1,1,1	160	74	6.13399442351e-10	1.04765016522e-07	1.0,0.536,0.698	0.0,0.0,0.0	0.745
5751	"FBgn0083124"	"Uhg4"	chr2R	+	9095577	9095629	9095272	9095339	9095897	9095958	5751	644,442,532	33,16,21	596,714,303	73,64,45	126	74	8.81402173469e-10	1.46237212038e-07	0.92,0.942,0.937	0.827,0.868,0.798	0.102
3656	"FBgn0085412"	"CG34383"	chr3R	+	13756889	13757027	13756375	13756662	13757182	13757476	3656	2,4,2	0,0,0	7,2,6	4,2,2	212	74	1.59340196593e-09	2.57024589338e-07	1.0,1.0,1.0	0.379,0.259,0.512	0.617
2618	"FBgn0032938"	"CG8671"	chr2L	+	21277196	21278429	21275723	21275806	21281131	21281337	2618	1810,1745,1606	81,62,51	2340,1255,1120	154,119,108	1307	74	1.87404114449e-09	2.94123160164e-07	0.559,0.614,0.641	0.462,0.374,0.37	0.203
3495	"FBgn0039381"	"SppL"	chr3R	+	25885118	25885319	25881983	25882275	25885381	25885829	3495	9,4,7	54,47,63	46,50,47	91,71,133	275	74	2.26020080429e-09	3.45394370277e-07	0.043,0.022,0.029	0.12,0.159,0.087	-0.091
6378	"FBgn0002921"	"Atpalpha"	chr3R	+	20959236	20959380	20948779	20948829	20962214	20962295	6378	307,289,222	35,28,32	377,230,267	95,114,90	218	74	2.4957372835e-09	3.71608882187e-07	0.749,0.778,0.702	0.574,0.406,0.502	0.249
4259	"FBgn0015218"	"eIF-4E"	chr3L	-	9401039	9401367	9400582	9400953	9402279	9402460	4259	4122,3813,4031	265,229,269	3997,3203,3843	576,422,361	402	74	2.67763500261e-09	3.88725661504e-07	0.741,0.754,0.734	0.561,0.583,0.662	0.141
2612	"FBgn0032938"	"CG8671"	chr2L	+	21277277	21278429	21275723	21275806	21281131	21281337	2612	1688,1618,1527	81,62,51	2185,1117,961	154,119,108	1226	74	2.92755164555e-09	4.14641278188e-07	0.557,0.612,0.644	0.461,0.362,0.349	0.214
6432	"FBgn0040271"	"Sulf1"	chr3R	-	16321962	16322169	16314364	16315246	16330919	16330956	6432	283,228,162	219,160,133	402,221,171	415,431,332	281	74	3.30559180028e-09	4.57037418672e-07	0.254,0.273,0.243	0.203,0.119,0.119	0.11
1028	"FBgn0036505"	"CG7945"	chr3L	-	15522967	15523464	15522559	15522580	15523832	15524137	1028	1630,1326,1544	38,29,30	2513,1638,1551	20,10,9	571	74	3.77189091072e-09	5.09380709734e-07	0.848,0.856,0.87	0.942,0.955,0.957	-0.093
2619	"FBgn0032938"	"CG8671"	chr2L	+	21277229	21278429	21275723	21275806	21281131	21281337	2619	1694,1642,1530	81,62,51	2219,1139,970	154,119,108	1274	74	4.36961955508e-09	5.76690471735e-07	0.548,0.606,0.635	0.456,0.357,0.343	0.211
5133	"FBgn0266084"	"Fhos"	chr3L	+	8797689	8797821	8796999	8797226	8798120	8798719	5133	115,128,157	89,94,121	78,59,69	134,102,117	206	74	6.74066025219e-09	8.69844757433e-07	0.317,0.328,0.318	0.173,0.172,0.175	0.148
3549	"FBgn0034500"	"CG11200"	chr2R	-	20308146	20308499	20306414	20306636	20308560	20308671	3549	122,96,99	62,47,49	122,59,40	126,58,83	427	74	8.24589496684e-09	1.04095461027e-06	0.254,0.261,0.259	0.144,0.15,0.077	0.134
2066	"FBgn0003495"	"spz"	chr3R	-	27067357	27067495	27066607	27066665	27069143	27070070	2066	351,309,312	347,307,355	528,442,451	349,255,223	212	74	1.11078523046e-08	1.37241060283e-06	0.261,0.26,0.235	0.346,0.377,0.414	-0.127
3999	"FBgn0033212"	"CG1399"	chr2R	-	7677997	7678404	7676539	7677734	7678569	7678626	3999	1636,1603,1733	110,98,84	2187,1167,1264	57,37,33	481	74	1.34618433068e-08	1.62860258505e-06	0.696,0.716,0.76	0.855,0.829,0.855	-0.122
3333	"FBgn0021765"	"scu"	chrX	+	18091554	18091654	18091258	18091390	18091951	18092853	3333	44,30,56	273,243,283	23,13,25	498,234,298	174	74	1.40227510714e-08	1.66183909126e-06	0.064,0.05,0.078	0.019,0.023,0.034	0.039
4661	"FBgn0004838"	"Hrb27C"	chr2L	+	6922730	6922826	6920703	6920861	6923783	6924400	4661	2045,1592,1082	217,156,115	2653,2324,1093	479,370,237	170	74	1.43502261185e-08	1.6666352614e-06	0.804,0.816,0.804	0.707,0.732,0.667	0.106
6652	"FBgn0038427"	"ema"	chr3R	-	16437792	16437999	16436879	16437338	16438064	16438650	6652	438,392,455	7,14,11	406,156,132	27,19,19	281	74	2.1357700275e-08	2.43184638229e-06	0.943,0.881,0.916	0.798,0.684,0.647	0.204
4182	"FBgn0000173"	"ben"	chrX	+	13996615	13996728	13996344	13996523	13998094	13999805	4182	70,59,76	504,412,487	46,37,28	615,602,492	187	74	2.19074164365e-08	2.4464686009e-06	0.052,0.054,0.058	0.029,0.024,0.022	0.03
4256	"FBgn0015218"	"eIF-4E"	chr3L	-	9401039	9401606	9400582	9400953	9402279	9402460	4256	4412,3959,4154	265,229,269	4556,3551,4154	576,422,361	641	74	2.23450580261e-08	2.4482594709e-06	0.658,0.666,0.641	0.477,0.493,0.571	0.141
2067	"FBgn0003495"	"spz"	chr3R	-	27067357	27067495	27067121	27067199	27069143	27070070	2067	490,427,442	266,211,207	810,641,661	232,176,116	212	74	2.54697295476e-08	2.73893924968e-06	0.391,0.414,0.427	0.549,0.56,0.665	-0.181
340	"FBgn0266694"	"CR45184"	chr3L	-	827645	827697	827422	827469	827876	829851	340	372,315,418	9,13,15	202,81,78	23,16,9	126	74	2.79410378168e-08	2.95006557458e-06	0.96,0.934,0.942	0.838,0.748,0.836	0.138
1048	"FBgn0034091"	"mrj"	chr2R	-	16205319	16205580	16204824	16205031	16205709	16205819	1048	13,13,6	447,420,466	61,35,26	557,349,308	335	74	3.18835223778e-08	3.30620740086e-06	0.006,0.007,0.003	0.024,0.022,0.018	-0.016
5064	"FBgn0034051"	"Mlf"	chr2R	-	15937020	15937326	15935892	15936580	15938446	15938978	5064	995,872,837	136,148,165	1026,445,436	290,137,155	380	74	3.62336756154e-08	3.69138516313e-06	0.588,0.534,0.497	0.408,0.387,0.354	0.157
5789	"FBgn0261556"	"CG42674"	chr3L	-	20168475	20169063	20158479	20158668	20190657	20192299	5789	47,43,48	42,60,45	109,107,113	48,29,52	662	74	3.77816034014e-08	3.78272018883e-06	0.111,0.074,0.107	0.202,0.292,0.195	-0.132
4664	"FBgn0004838"	"Hrb27C"	chr2L	+	6922734	6922826	6920703	6920861	6923783	6924400	4664	1468,1159,805	217,156,115	1949,1626,867	479,370,237	166	74	3.95210061344e-08	3.88980479021e-06	0.751,0.768,0.757	0.645,0.662,0.62	0.116
1942	"FBgn0003721"	"Tm1"	chr3R	+	15301010	15301073	15300746	15300822	15303152	15303222	1942	64,50,42	3,1,0	44,37,33	11,9,6	137	74	7.65284879911e-08	7.28526114368e-06	0.92,0.964,1.0	0.684,0.689,0.748	0.254
2122	"FBgn0036518"	"RhoGAP71E"	chr3L	+	15604835	15605755	15601634	15602515	15606658	15609125	2122	460,435,434	60,47,57	372,249,238	125,53,53	994	74	7.64083312177e-08	7.28526114368e-06	0.363,0.408,0.362	0.181,0.259,0.251	0.147
3545	"FBgn0261671"	"tweek"	chr2L	+	16896808	16896904	16896236	16896357	16897487	16898068	3545	6,5,2	6,7,2	2,0,0	39,12,12	170	74	8.28522632723e-08	7.76004988423e-06	0.303,0.237,0.303	0.022,0.0,0.0	0.274
1321	"FBgn0259174"	"Nedd4"	chr3L	+	17543504	17543612	17541300	17541403	17543763	17544001	1321	385,333,288	1,0,0	541,325,279	15,14,1	182	74	1.0215009949e-07	9.12593273444e-06	0.994,1.0,1.0	0.936,0.904,0.991	0.054
3334	"FBgn0086254"	"CG6084"	chr3L	-	11620922	11621103	11620534	11620665	11621213	11621422	3334	1259,968,1222	612,553,664	768,658,452	728,507,412	255	74	9.98112970052e-08	9.12593273444e-06	0.374,0.337,0.348	0.234,0.274,0.241	0.103
3523	"FBgn0030530"	"jub"	chrX	-	13828223	13828253	13827578	13827719	13828641	13830317	3523	13,12,9	33,39,46	2,3,0	66,31,33	104	74	1.01875934688e-07	9.12593273444e-06	0.219,0.18,0.122	0.021,0.064,0.0	0.145
1620	"FBgn0261836"	"Msp300"	chr2L	+	5202764	5202803	5199342	5202302	5203115	5203742	1620	116,116,66	8,10,11	112,41,42	40,14,17	113	74	1.03799401963e-07	9.13277465453e-06	0.905,0.884,0.797	0.647,0.657,0.618	0.221
6379	"FBgn0002921"	"Atpalpha"	chr3R	+	20959236	20959380	20948779	20948829	20960725	20960825	6379	188,171,146	0,1,0	204,130,162	9,3,9	218	74	1.43267203989e-07	1.24172037845e-05	1.0,0.983,1.0	0.885,0.936,0.859	0.101
766	"FBgn0000370"	"crc"	chr2L	+	21311192	21311531	21310865	21311032	21311752	21312043	766	830,703,818	2088,1647,1812	737,537,529	2796,2156,1865	413	74	1.45734076029e-07	1.24452614632e-05	0.066,0.071,0.075	0.045,0.043,0.048	0.025
1430	"FBgn0025741"	"PlexA"	chr4	-	1014582	1014728	1014317	1014526	1014777	1014908	1430	1373,1140,1297	11,12,10	1798,887,782	42,19,27	220	74	1.67380557858e-07	1.40866507171e-05	0.977,0.97,0.978	0.935,0.94,0.907	0.048
2816	"FBgn0032036"	"CG13384"	chr2L	+	8384996	8385097	8384699	8384895	8386216	8386385	2816	861,663,647	16,13,15	1044,526,421	6,0,1	175	74	1.85718615486e-07	1.54066857161e-05	0.958,0.956,0.948	0.987,1.0,0.994	-0.04
1561	"FBgn0011225"	"jar"	chr3R	-	24254403	24254448	24254003	24254124	24254633	24254678	1561	69,73,77	59,50,59	66,38,23	144,52,66	119	74	2.1185406851e-07	1.7327275716e-05	0.421,0.476,0.448	0.222,0.312,0.178	0.211
2600	"FBgn0026375"	"RhoGAPp190"	chrX	-	17645886	17646012	17643680	17644178	17646519	17646585	2600	17,14,4	32,36,18	8,1,0	52,38,40	200	74	3.91596342797e-07	3.15833328142e-05	0.164,0.126,0.076	0.054,0.01,0.0	0.101
1747	"FBgn0011571"	"caz"	chrX	+	16289026	16289158	16288809	16288957	16289225	16289322	1747	1519,1229,1361	39,27,39	2203,1266,1249	111,75,58	206	74	4.35940872401e-07	3.46782006306e-05	0.933,0.942,0.926	0.877,0.858,0.886	0.06
2504	"FBgn0260462"	"CG12163"	chr3R	-	5243837	5244254	5239491	5239619	5251423	5251745	2504	117,99,123	557,467,534	111,48,56	692,508,617	491	74	4.58995532915e-07	3.60187440492e-05	0.031,0.031,0.034	0.024,0.014,0.013	0.015
6383	"FBgn0002921"	"Atpalpha"	chr3R	+	20967107	20967202	20966397	20966613	20973172	20973347	6383	2539,2209,2157	11,12,11	3168,1365,1198	44,21,16	169	74	5.01225153715e-07	3.88081929016e-05	0.99,0.988,0.988	0.969,0.966,0.97	0.02
4000	"FBgn0033212"	"CG1399"	chr2R	-	7680291	7680312	7679341	7679930	7680924	7680999	4000	15,10,17	213,202,188	2,1,3	268,127,101	95	74	5.2863056299e-07	4.03915484116e-05	0.052,0.037,0.066	0.006,0.006,0.023	0.04
4383	"FBgn0002121"	"l(2)gl"	chr2L	-	19879	20020	17052	17212	21065	21376	4383	95,72,30	11,9,7	152,127,96	5,1,2	215	74	5.50946147482e-07	4.15499256939e-05	0.748,0.734,0.596	0.913,0.978,0.943	-0.252
4387	"FBgn0002121"	"l(2)gl"	chr2L	-	19879	20015	17052	17212	21065	21376	4387	61,50,18	11,9,7	101,92,70	5,1,2	210	74	5.58367377113e-07	4.15697353705e-05	0.661,0.662,0.475	0.877,0.97,0.925	-0.325
1899	"FBgn0263490"	"mld"	chr3R	+	24620169	24620235	24616050	24620104	24620378	24621113	1899	99,67,87	2,2,0	116,60,52	14,4,9	140	74	5.83302700585e-07	4.28764402822e-05	0.963,0.947,1.0	0.814,0.888,0.753	0.152
5426	"FBgn0013733"	"shot"	chr2R	-	13871665	13871725	13871293	13871338	13871978	13872153	5426	157,123,118	20,23,22	310,101,111	98,56,55	134	74	6.27482698135e-07	4.55474003509e-05	0.813,0.747,0.748	0.636,0.499,0.527	0.215
1298	"FBgn0037248"	"srl"	chr3R	-	4428549	4428623	4426881	4427000	4428974	4429335	1298	117,109,131	240,185,213	201,178,183	188,188,109	148	74	7.24959506648e-07	5.19733315445e-05	0.196,0.228,0.235	0.348,0.321,0.456	-0.155
6220	"FBgn0040056"	"CG17698"	chr3L	+	23747758	23747812	23737959	23738184	23747872	23748060	6220	16,25,21	0,0,0	17,12,14	2,4,3	128	74	1.03509143157e-06	7.33021456479e-05	1.0,1.0,1.0	0.831,0.634,0.73	0.268
1103	"FBgn0036239"	"Pop2"	chr3L	-	12001726	12001931	12000749	12001090	12002585	12002915	1103	30,30,34	126,109,94	122,80,55	175,114,122	279	74	1.10375763651e-06	7.72231397014e-05	0.059,0.068,0.088	0.156,0.157,0.107	-0.068
1442	"FBgn0010382"	"CycE"	chr2L	-	15745391	15745643	15737627	15737964	15746454	15746610	1442	17,10,7	3,2,3	27,16,18	1,0,0	326	74	1.20814028204e-06	8.35198883072e-05	0.563,0.532,0.346	0.86,1.0,1.0	-0.473
2603	"FBgn0026375"	"RhoGAPp190"	chrX	-	17644763	17644808	17643680	17644178	17646519	17646585	2603	3,6,9	32,36,18	1,1,0	52,38,40	119	74	1.24881852714e-06	8.53163433777e-05	0.055,0.094,0.237	0.012,0.016,0.0	0.119
1217	"FBgn0085638"	"CG41378"	chr2R	-	2830707	2831043	2770418	2770710	2846603	2846661	1217	285,247,324	2,2,1	316,206,182	7,16,5	410	74	1.40501203594e-06	9.37805160081e-05	0.963,0.957,0.983	0.891,0.699,0.868	0.148
61	"FBgn0026401"	"Nipped-B"	chr2R	-	4722146	4722325	4719769	4720210	4726623	4726788	61	606,523,414	14,8,20	832,974,705	12,3,3	253	74	1.38896538504e-06	9.37805160081e-05	0.927,0.95,0.858	0.953,0.99,0.986	-0.065
152	"FBgn0264492"	"CkIIalpha"	chr3L	+	23100219	23100357	23099639	23099723	23102121	23103460	152	908,602,808	106,95,123	928,653,657	313,147,147	212	74	1.448649394e-06	9.55943980791e-05	0.749,0.689,0.696	0.509,0.608,0.609	0.136
154	"FBgn0264492"	"CkIIalpha"	chr3L	+	23100244	23100357	23099639	23099723	23102121	23103460	154	926,638,829	106,95,123	987,697,678	313,147,147	187	74	1.54799494267e-06	0.000101002321709	0.776,0.727,0.727	0.555,0.652,0.646	0.126
625	"FBgn0025726"	"unc-13"	chr4	-	881842	881949	876869	877194	882960	883081	625	118,107,91	19,16,10	161,108,98	49,47,38	181	74	1.59018970991e-06	0.000102602573838	0.717,0.732,0.788	0.573,0.484,0.513	0.222
66	"FBgn0037788"	"CG3940"	chr3R	+	10118283	10118442	10117608	10117680	10118513	10120081	66	580,461,544	23,22,17	500,324,219	51,26,21	233	74	2.02004333383e-06	0.000128905402632	0.889,0.869,0.91	0.757,0.798,0.768	0.115
3258	"FBgn0264894"	"CG44085"	chr2L	+	13267594	13267972	13266868	13266988	13271295	13271972	3258	304,245,189	3,2,2	453,305,224	25,12,7	452	74	2.16313750845e-06	0.000135259171001	0.943,0.953,0.939	0.748,0.806,0.84	0.147
708	"FBgn0024811"	"Crk"	chr4	+	211589	211794	210557	210680	211853	211982	708	822,627,731	15,20,11	1014,709,612	41,30,53	279	74	2.16619647031e-06	0.000135259171001	0.936,0.893,0.946	0.868,0.862,0.754	0.097
604	"FBgn0025726"	"unc-13"	chr4	-	906027	906997	903336	903471	907073	907550	604	3083,2544,2758	58,44,31	4126,3810,2888	121,93,100	1044	74	2.28124802659e-06	0.000140927737132	0.79,0.804,0.863	0.707,0.744,0.672	0.111
1560	"FBgn0011225"	"jar"	chr3R	-	24254633	24254678	24254003	24254124	24254993	24255224	1560	126,107,129	0,1,0	225,83,85	4,6,10	119	74	2.49442564915e-06	0.000150886768173	1.0,0.985,1.0	0.972,0.896,0.841	0.092
1734	"FBgn0024187"	"syd"	chr3L	-	7927759	7927820	7926024	7926837	7927916	7928117	1734	56,33,46	13,13,15	35,34,27	28,55,23	135	74	2.47290934996e-06	0.000150886768173	0.702,0.582,0.627	0.407,0.253,0.392	0.286
4844	"FBgn0058263"	"MFS17"	chr2R	-	2562626	2562805	2553782	2553877	2565118	2565385	4844	11,11,15	117,78,76	33,26,18	64,91,41	253	74	3.02079254055e-06	0.000180842703948	0.027,0.04,0.055	0.131,0.077,0.114	-0.067
4839	"FBgn0033699"	"RpS11"	chr2R	-	12200427	12200550	12199833	12200039	12200774	12200815	4839	45,39,56	45,25,67	67,34,36	350,45,68	197	74	3.73024805056e-06	0.000221036228873	0.273,0.369,0.239	0.067,0.221,0.166	0.142
4527	"FBgn0039710"	"dgt1"	chr3R	-	29855129	29855648	29854694	29855043	29855952	29856353	4527	152,131,162	96,67,99	64,74,77	129,64,61	593	74	3.80568311931e-06	0.000223228301756	0.165,0.196,0.17	0.058,0.126,0.136	0.07
4101	"FBgn0033897"	"Rcd1"	chr2R	-	14150035	14150095	14149233	14149818	14150225	14150454	4101	10,5,9	81,60,47	2,0,2	123,70,39	134	74	3.85342845088e-06	0.000223768590143	0.064,0.044,0.096	0.009,0.0,0.028	0.056
3019	"FBgn0263391"	"hts"	chr2R	-	19406019	19406088	19399025	19399093	19407840	19407912	3019	208,159,172	124,102,106	244,151,175	247,153,215	143	74	4.33694895074e-06	0.000249353094623	0.465,0.446,0.456	0.338,0.338,0.296	0.132
5103	"FBgn0022764"	"Sin3A"	chr2R	-	12577453	12577709	12576567	12576993	12579128	12579356	5103	42,40,26	129,119,106	45,34,21	256,216,264	330	74	4.38223907229e-06	0.000249486885223	0.068,0.07,0.052	0.038,0.034,0.018	0.033
4430	"FBgn0029903"	"pod1"	chrX	+	6809373	6809406	6809063	6809137	6809484	6809657	4430	123,99,90	22,25,22	197,104,89	78,61,68	107	74	5.5008850578e-06	0.000310132422628	0.795,0.733,0.739	0.636,0.541,0.475	0.205
6497	"FBgn0086674"	"Tango13"	chrX	+	13575901	13576376	13563822	13564333	13576611	13577664	6497	144,149,97	0,0,0	290,160,174	6,4,3	549	74	7.82546180866e-06	0.000436946699259	1.0,1.0,1.0	0.867,0.844,0.887	0.134
186	"FBgn0011754"	"PhKgamma"	chrX	+	11700620	11701127	11698499	11698597	11703289	11703448	186	367,324,351	0,3,2	616,247,205	14,5,8	581	74	9.25163892207e-06	0.000506832709627	1.0,0.932,0.957	0.849,0.863,0.765	0.137
