ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	eventID
4372	FBgn0020309	crol	chr2L	-	11806047	11806157	11803784	11803898	11808013	11808972	4372	470	16	189	68	185	75	0.0	0.0	0.923	0.53	0.393	chr2L:-:11803784-11803898:11806047-11806157:11808013-11808972
4373	FBgn0020309	crol	chr2L	-	11806047	11806157	11803784	11803898	11809125	11809438	4373	516	27	204	128	185	75	0.0	0.0	0.886	0.393	0.493	chr2L:-:11803784-11803898:11806047-11806157:11809125-11809438
4376	FBgn0020309	crol	chr2L	-	11797828	11798041	11795171	11797741	11798664	11799402	4376	591	25	254	106	288	75	0.0	0.0	0.86	0.384	0.476	chr2L:-:11795171-11797741:11797828-11798041:11798664-11799402
4482	FBgn0019936	RpS20	chr3R	+	20822801	20822891	20822417	20822573	20823131	20823356	4482	24285	5	8543	289	165	75	0.0	0.0	1.0	0.931	0.069	chr3R:+:20822417-20822573:20822801-20822891:20823131-20823356
4503	FBgn0036318	Wbp2	chr3L	+	12852231	12852277	12851308	12851722	12852426	12852521	4503	618	2	243	95	121	75	0.0	0.0	0.995	0.613	0.382	chr3L:+:12851308-12851722:12852231-12852277:12852426-12852521
4570	FBgn0042174	CR18854	chr2L	-	9789674	9789732	9789366	9789615	9789790	9790309	4570	722	360	226	482	133	75	0.0	0.0	0.531	0.209	0.322	chr2L:-:9789366-9789615:9789674-9789732:9789790-9790309
4581	FBgn0052311	zormin	chr3L	-	2126998	2128760	2125238	2126670	2129053	2129229	4581	117	79	974	83	1837	75	0.0	0.0	0.057	0.324	-0.267	chr3L:-:2125238-2126670:2126998-2128760:2129053-2129229
4582	FBgn0052311	zormin	chr3L	-	2127077	2128760	2125238	2126670	2129053	2129229	4582	118	79	1007	83	1758	75	0.0	0.0	0.06	0.341	-0.281	chr3L:-:2125238-2126670:2127077-2128760:2129053-2129229
4607	FBgn0022029	l(2)k01209	chr2R	+	17421447	17421946	17420406	17420573	17423655	17423963	4607	1248	366	1206	61	574	75	0.0	0.0	0.308	0.721	-0.413	chr2R:+:17420406-17420573:17421447-17421946:17423655-17423963
4666	FBgn0266410	CG45050	chr3R	+	9342575	9342894	9341866	9342491	9354421	9354854	4666	202	719	371	385	394	75	0.0	0.0	0.051	0.155	-0.104	chr3R:+:9341866-9342491:9342575-9342894:9354421-9354854
4713	FBgn0263977	Tim17b	chr3R	+	3735268	3735446	3734854	3735166	3744835	3745306	4713	1966	1	1001	131	253	75	0.0	0.0	0.998	0.694	0.304	chr3R:+:3734854-3735166:3735268-3735446:3744835-3745306
4714	FBgn0032196	CG5708	chr2L	-	10225873	10225965	10225503	10225811	10226664	10226808	4714	214	193	57	336	167	75	0.0	0.0	0.332	0.071	0.261	chr2L:-:10225503-10225811:10225873-10225965:10226664-10226808
4776	FBgn0005278	Sam-S	chr2L	+	111906	112019	111004	111117	112689	113369	4776	778	6	333	63	188	75	0.0	0.0	0.981	0.678	0.303	chr2L:+:111004-111117:111906-112019:112689-113369
4778	FBgn0005278	Sam-S	chr2L	+	111004	111117	110754	110877	111906	112019	4778	60	687	151	280	188	75	0.0	0.0	0.034	0.177	-0.143	chr2L:+:110754-110877:111004-111117:111906-112019
4864	FBgn0040056	CG17698	chr3L	+	23748139	23748373	23747872	23748060	23748423	23748716	4864	2223	21	697	120	309	75	0.0	0.0	0.963	0.585	0.378	chr3L:+:23747872-23748060:23748139-23748373:23748423-23748716
4955	FBgn0032198	eEF1delta	chr2L	+	10233480	10233561	10232506	10232659	10233756	10234450	4955	1387	439	308	354	156	75	0.0	0.0	0.603	0.295	0.308	chr2L:+:10232506-10232659:10233480-10233561:10233756-10234450
5119	FBgn0261722	fwe	chr3L	-	15811219	15812897	15810080	15810848	15813245	15813353	5119	706	126	2757	38	1753	75	0.0	0.0	0.193	0.756	-0.563	chr3L:-:15810080-15810848:15811219-15812897:15813245-15813353
5120	FBgn0261722	fwe	chr3L	-	15811219	15812241	15810080	15810848	15813245	15813353	5120	271	126	1142	38	1097	75	0.0	0.0	0.128	0.673	-0.545	chr3L:-:15810080-15810848:15811219-15812241:15813245-15813353
5133	FBgn0003261	Rm62	chr3R	-	6002062	6002721	6001557	6001736	6003672	6003911	5133	1042	3676	776	1268	734	75	0.0	0.0	0.028	0.059	-0.031	chr3R:-:6001557-6001736:6002062-6002721:6003672-6003911
5137	FBgn0003261	Rm62	chr3R	-	6002062	6003098	6001557	6001736	6003672	6003911	5137	2598	3676	1865	1268	1111	75	0.0	0.0	0.046	0.09	-0.044	chr3R:-:6001557-6001736:6002062-6003098:6003672-6003911
5138	FBgn0003261	Rm62	chr3R	-	6001832	6002753	6001557	6001736	6003672	6003911	5138	943	3676	739	1268	996	75	0.0	0.0	0.019	0.042	-0.023	chr3R:-:6001557-6001736:6001832-6002753:6003672-6003911
521	FBgn0266758	Esyt2	chr3R	+	24549684	24549764	24549013	24549139	24551328	24551812	521	1216	44	836	317	155	75	0.0	0.0	0.93	0.561	0.369	chr3R:+:24549013-24549139:24549684-24549764:24551328-24551812
5268	FBgn0011217	eff	chr3R	-	14734386	14734418	14733699	14733883	14737419	14737483	5268	2439	0	1316	322	107	75	0.0	0.0	1.0	0.741	0.259	chr3R:-:14733699-14733883:14734386-14734418:14737419-14737483
530	FBgn0031220	CG4822	chr2L	-	120167	120364	119827	120080	120420	120631	530	1519	721	418	463	272	75	0.0	0.0	0.367	0.199	0.168	chr2L:-:119827-120080:120167-120364:120420-120631
545	FBgn0003256	rl	chr2R	+	1080330	1080441	1076634	1076761	1105846	1105981	545	1906	23	509	80	186	75	0.0	0.0	0.971	0.72	0.251	chr2R:+:1076634-1076761:1080330-1080441:1105846-1105981
547	FBgn0003256	rl	chr2R	+	1080330	1080441	1072250	1072439	1105846	1105981	547	908	2	300	42	186	75	0.0	0.0	0.995	0.742	0.253	chr2R:+:1072250-1072439:1080330-1080441:1105846-1105981
553	FBgn0003256	rl	chr2R	+	1076634	1076761	1071974	1072439	1080330	1080441	553	2132	1	686	33	202	75	0.0	0.0	0.999	0.885	0.114	chr2R:+:1071974-1072439:1076634-1076761:1080330-1080441
554	FBgn0003256	rl	chr2R	+	1076634	1076761	1071974	1072439	1105846	1105981	554	1156	2	524	42	202	75	0.0	0.0	0.995	0.822	0.173	chr2R:+:1071974-1072439:1076634-1076761:1105846-1105981
601	FBgn0037580	DppIII	chr3R	+	8344808	8345023	8344399	8344483	8345092	8345399	601	819	281	148	178	290	75	0.0	0.0	0.43	0.177	0.253	chr3R:+:8344399-8344483:8344808-8345023:8345092-8345399
610	FBgn0000370	crc	chr2L	+	21311192	21311531	21310865	21311032	21311752	21312043	610	876	15348	1922	3480	414	75	0.0	0.0	0.01	0.091	-0.081	chr2L:+:21310865-21311032:21311192-21311531:21311752-21312043
645	FBgn0039959	CG17514	chr3L	-	27987737	27988702	27967243	27974140	28012380	28012483	645	4686	10	4341	110	1040	75	0.0	0.0	0.971	0.74	0.231	chr3L:-:27967243-27974140:27987737-27988702:28012380-28012483
64	FBgn0026401	Nipped-B	chr2R	-	4728179	4728351	4727793	4727953	4728432	4728551	64	1649	180	1377	431	247	75	0.0	0.0	0.736	0.492	0.244	chr2R:-:4727793-4727953:4728179-4728351:4728432-4728551
741	FBgn0030052	CG12065	chrX	+	8586551	8586608	8585985	8586245	8587257	8587525	741	36	485	197	141	132	75	0.0	0.0	0.04	0.443	-0.403	chrX:+:8585985-8586245:8586551-8586608:8587257-8587525
772	FBgn0020660	eIF-4B	chr3L	-	27847424	27847485	27844504	27844604	27856783	27857935	772	844	33	154	72	136	75	0.0	0.0	0.934	0.541	0.393	chr3L:-:27844504-27844604:27847424-27847485:27856783-27857935
776	FBgn0015803	RtGEF	chr2L	+	20356875	20359183	20356561	20356801	20360012	20360433	776	223	114	890	71	2383	75	0.0	0.0	0.058	0.283	-0.225	chr2L:+:20356561-20356801:20356875-20359183:20360012-20360433
814	FBgn0058045	CG40045	chr3L	+	24028810	24028938	24028514	24028723	24035431	24035859	814	109	0	45	302	203	75	0.0	0.0	1.0	0.052	0.948	chr3L:+:24028514-24028723:24028810-24028938:24035431-24035859
816	FBgn0058045	CG40045	chr3L	+	24030754	24030857	24028514	24028723	24035431	24035859	816	4574	0	1936	302	178	75	0.0	0.0	1.0	0.73	0.27	chr3L:+:24028514-24028723:24030754-24030857:24035431-24035859
818	FBgn0058045	CG40045	chr3L	+	24030754	24030854	24028514	24028723	24035431	24035859	818	3706	0	1555	302	175	75	0.0	0.0	1.0	0.688	0.312	chr3L:+:24028514-24028723:24030754-24030854:24035431-24035859
914	FBgn0032988	Tif-IA	chr2L	+	22253745	22253921	22250371	22250853	22257652	22257902	914	1456	31	737	131	251	75	0.0	0.0	0.933	0.627	0.306	chr2L:+:22250371-22250853:22253745-22253921:22257652-22257902
944	FBgn0005672	spi	chr2L	-	19571571	19571767	19567899	19569226	19577185	19577315	944	6415	723	2440	662	271	75	0.0	0.0	0.711	0.505	0.206	chr2L:-:19567899-19569226:19571571-19571767:19577185-19577315
2261	FBgn0039969	Fis1	chr2R	-	5603899	5604012	5603586	5603761	5604582	5604650	2261	465	0	127	25	188	75	1.11022302463e-16	4.40886643435e-15	1.0	0.67	0.33	chr2R:-:5603586-5603761:5603899-5604012:5604582-5604650
2392	FBgn0016930	Dyrk2	chr2L	-	14217026	14217069	14197656	14197867	14222016	14222081	2392	130	1	172	83	118	75	1.11022302463e-16	4.40886643435e-15	0.988	0.568	0.42	chr2L:-:14197656-14197867:14217026-14217069:14222016-14222081
4257	FBgn0261564	CG42678	chr2R	+	22930385	22931280	22930192	22930319	22931514	22932044	4257	776	78	2035	42	970	75	1.11022302463e-16	4.40886643435e-15	0.435	0.789	-0.354	chr2R:+:22930192-22930319:22930385-22931280:22931514-22932044
4259	FBgn0261564	CG42678	chr2R	+	22930388	22931280	22930192	22930319	22931514	22932044	4259	782	78	2062	42	967	75	1.11022302463e-16	4.40886643435e-15	0.437	0.792	-0.355	chr2R:+:22930192-22930319:22930388-22931280:22931514-22932044
4256	FBgn0261564	CG42678	chr2R	+	22930388	22931166	22930192	22930319	22931514	22932044	4256	758	78	1958	42	853	75	2.22044604925e-16	8.73375446038e-15	0.461	0.804	-0.343	chr2R:+:22930192-22930319:22930388-22931166:22931514-22932044
2604	FBgn0032223	GATAd	chr2L	+	10335780	10335924	10333913	10334812	10336021	10336883	2604	659	0	427	40	219	75	3.33066907388e-16	1.28557600702e-14	1.0	0.785	0.215	chr2L:+:10333913-10334812:10335780-10335924:10336021-10336883
29	FBgn0026401	Nipped-B	chr2R	-	4728008	4728124	4727793	4727953	4728179	4728351	29	6120	6	4085	67	191	75	3.33066907388e-16	1.28557600702e-14	0.998	0.96	0.038	chr2R:-:4727793-4727953:4728008-4728124:4728179-4728351
4702	FBgn0027932	Akap200	chr2L	+	8428319	8429462	8427614	8428067	8430280	8430977	4702	5676	263	5033	91	1218	75	5.55111512313e-16	2.12278754246e-14	0.571	0.773	-0.202	chr2L:+:8427614-8428067:8428319-8429462:8430280-8430977
80	FBgn0026401	Nipped-B	chr2R	-	4698502	4698996	4695461	4695610	4699058	4699151	80	4776	11	2888	60	569	75	6.66133814775e-16	2.52397491286e-14	0.983	0.864	0.119	chr2R:-:4695461-4695610:4698502-4698996:4699058-4699151
4830	FBgn0023095	caps	chr3L	+	13265179	13265392	13251153	13251211	13275561	13279642	4830	714	14	145	35	288	75	7.77156117238e-16	2.91786796745e-14	0.93	0.519	0.411	chr3L:+:13251153-13251211:13265179-13265392:13275561-13279642
1156	FBgn0034718	wdp	chr2R	-	22308207	22308256	22298213	22301009	22311695	22311937	1156	326	15	111	50	124	75	1.44328993201e-15	5.37007875604e-14	0.929	0.573	0.356	chr2R:-:22298213-22301009:22308207-22308256:22311695-22311937
543	FBgn0003256	rl	chr2R	+	1080330	1080441	1071974	1072045	1105846	1105981	543	911	0	279	25	186	75	2.55351295664e-15	9.41607902761e-14	1.0	0.818	0.182	chr2R:+:1071974-1072045:1080330-1080441:1105846-1105981
2449	FBgn0005632	faf	chr3R	+	31788659	31788844	31787801	31788197	31789496	31790121	2449	29	107	92	43	260	75	3.21964677141e-15	1.17673815628e-13	0.073	0.382	-0.309	chr3R:+:31787801-31788197:31788659-31788844:31789496-31790121
3227	FBgn0058178	CG40178	chr3L	-	25969229	25969627	25961359	25961540	26013542	26013568	3227	594	7	203	37	473	75	3.99680288865e-15	1.43537355914e-13	0.931	0.465	0.466	chr3L:-:25961359-25961540:25969229-25969627:26013542-26013568
4504	FBgn0036318	Wbp2	chr3L	+	12852231	12852277	12851308	12851722	12852615	12852716	4504	492	162	142	149	121	75	3.99680288865e-15	1.43537355914e-13	0.653	0.371	0.282	chr3L:+:12851308-12851722:12852231-12852277:12852615-12852716
113	FBgn0026401	Nipped-B	chr2R	-	4700388	4700583	4695461	4695610	4711813	4712045	113	1150	0	968	44	270	75	6.88338275268e-15	2.45072161798e-13	1.0	0.859	0.141	chr2R:-:4695461-4695610:4700388-4700583:4711813-4712045
4641	FBgn0026238	gus	chr2R	-	5121736	5121840	5120762	5121652	5121982	5122247	4641	118	151	16	146	179	75	7.43849426499e-15	2.62572489867e-13	0.247	0.044	0.203	chr2R:-:5120762-5121652:5121736-5121840:5121982-5122247
1530	FBgn0036732	Oatp74D	chr3L	+	17501444	17501478	17488064	17488332	17507624	17509304	1530	232	0	92	28	109	75	7.54951656745e-15	2.64233079861e-13	1.0	0.693	0.307	chr3L:+:17488064-17488332:17501444-17501478:17507624-17509304
1508	FBgn0250789	alpha-Spec	chr3L	-	1784502	1784598	1781758	1783682	1784906	1788957	1508	7	175	40	59	171	75	9.43689570931e-15	3.27515792264e-13	0.017	0.229	-0.212	chr3L:-:1781758-1783682:1784502-1784598:1784906-1788957
